City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Puerto Ayora,EC,67.55,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
2,Tezu,IN,76.84,moderate rain,27.9167,96.1667,Circuit House
3,Torbay,CA,61.57,overcast clouds,47.6666,-52.7314,Gallows Cove
6,Jamestown,US,72.72,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
7,Ugoofaaru,MV,82.22,overcast clouds,5.6667,73.0,Ungoofaaru Inn
8,Sao Joao Da Barra,BR,68.81,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
10,Northam,GB,60.39,overcast clouds,51.0333,-4.2167,Durrant House Hotel
11,Hobart,AU,57.06,few clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
13,Pisco,PE,60.85,broken clouds,-13.7,-76.2167,Hotel San Isidro Oficial
14,Geraldton,AU,66.61,broken clouds,-28.7667,114.6,Broadwater Mariner Resort
18,Praia,CV,76.17,overcast clouds,14.9215,-23.5087,LT Aparthotel
19,Vaini,TO,77.16,few clouds,-21.2,-175.2,Keleti Beach Resort
20,New Norfolk,AU,56.7,clear sky,-42.7826,147.0587,The Shingles Riverside Cottages
25,Ribeira Grande,PT,72.05,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
26,Kapaa,US,84.18,moderate rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
27,Oistins,BB,80.69,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
29,Tuktoyaktuk,CA,60.8,broken clouds,69.4541,-133.0374,End of The Road Ltd.
30,Otterup,DK,58.06,overcast clouds,55.5153,10.3976,COZY AND PRIVATE ROOM. B&B
32,Hithadhoo,MV,77.49,moderate rain,-0.6,73.0833,Scoop Guest House
35,Catuday,PH,84.7,clear sky,16.2923,119.8062,Benjie's Kubo & Cottages
36,Guapi,CO,73.83,light rain,2.5708,-77.8854,Hotel Emperador Guapí
37,Tignere,CM,63.55,moderate rain,7.3667,12.65,SADECK
